start,end,rq_time,rq_type,subnetwork,request_id,is_multimodal,modal_state,transfer_station_ids,max_transfers
10,194,10410,inter,left,0,True,3,MH-L;MH-R,1
84,227,13650,inter,left,1,True,3,MH-L;MH-R,1
106,201,13140,inter,left,2,True,3,MH-L;MH-R,1
25,122,5850,inter,left,3,True,3,MH-L;MH-R,1
77,178,4380,inter,left,4,True,3,MH-L;MH-R,1
111,154,10680,inter,left,5,True,3,MH-L;MH-R,1
110,189,11520,inter,left,6,True,3,MH-L;MH-R,1
2,197,4530,inter,left,7,True,3,MH-L;MH-R,1
66,126,7350,inter,left,8,True,3,MH-L;MH-R,1
26,136,13860,inter,left,9,True,3,MH-L;MH-R,1
114,164,9510,inter,left,10,True,3,MH-L;MH-R,1
101,170,7560,inter,left,11,True,3,MH-L;MH-R,1
101,183,6000,inter,left,12,True,3,MH-L;MH-R,1
66,187,13170,inter,left,13,True,3,MH-L;MH-R,1
19,206,7320,inter,left,14,True,3,MH-L;MH-R,1
28,164,5310,inter,left,15,True,3,MH-L;MH-R,1
5,171,4380,inter,left,16,True,3,MH-L;MH-R,1
40,190,13380,inter,left,17,True,3,MH-L;MH-R,1
106,211,5490,inter,left,18,True,3,MH-L;MH-R,1
10,188,13830,inter,left,19,True,3,MH-L;MH-R,1
11,122,6060,inter,left,20,True,3,MH-L;MH-R,1
35,143,4830,inter,left,21,True,3,MH-L;MH-R,1
105,145,4860,inter,left,22,True,3,MH-L;MH-R,1
67,128,4680,inter,left,23,True,3,MH-L;MH-R,1
75,177,4590,inter,left,24,True,3,MH-L;MH-R,1
76,235,5640,inter,left,25,True,3,MH-L;MH-R,1
33,136,9510,inter,left,26,True,3,MH-L;MH-R,1
47,142,11130,inter,left,27,True,3,MH-L;MH-R,1
70,122,3870,inter,left,28,True,3,MH-L;MH-R,1
48,222,4860,inter,left,29,True,3,MH-L;MH-R,1
40,198,5790,inter,left,30,True,3,MH-L;MH-R,1
65,184,13260,inter,left,31,True,3,MH-L;MH-R,1
25,142,10620,inter,left,32,True,3,MH-L;MH-R,1
68,150,7860,inter,left,33,True,3,MH-L;MH-R,1
22,124,8430,inter,left,34,True,3,MH-L;MH-R,1
36,226,5400,inter,left,35,True,3,MH-L;MH-R,1
78,195,11100,inter,left,36,True,3,MH-L;MH-R,1
58,141,14340,inter,left,37,True,3,MH-L;MH-R,1
82,232,7230,inter,left,38,True,3,MH-L;MH-R,1
70,149,12780,inter,left,39,True,3,MH-L;MH-R,1
69,232,12300,inter,left,40,True,3,MH-L;MH-R,1
91,149,5250,inter,left,41,True,3,MH-L;MH-R,1
110,167,6360,inter,left,42,True,3,MH-L;MH-R,1
78,206,5490,inter,left,43,True,3,MH-L;MH-R,1
108,165,11310,inter,left,44,True,3,MH-L;MH-R,1
108,138,6330,inter,left,45,True,3,MH-L;MH-R,1
7,206,10440,inter,left,46,True,3,MH-L;MH-R,1
50,209,5910,inter,left,47,True,3,MH-L;MH-R,1
80,227,5880,inter,left,48,True,3,MH-L;MH-R,1
45,165,7200,inter,left,49,True,3,MH-L;MH-R,1
79,178,9720,inter,left,50,True,3,MH-L;MH-R,1
110,167,8130,inter,left,51,True,3,MH-L;MH-R,1
22,169,12450,inter,left,52,True,3,MH-L;MH-R,1
91,158,6810,inter,left,53,True,3,MH-L;MH-R,1
33,209,11940,inter,left,54,True,3,MH-L;MH-R,1
51,216,13410,inter,left,55,True,3,MH-L;MH-R,1
71,228,13440,inter,left,56,True,3,MH-L;MH-R,1
79,160,14250,inter,left,57,True,3,MH-L;MH-R,1
42,126,5310,inter,left,58,True,3,MH-L;MH-R,1
96,144,6210,inter,left,59,True,3,MH-L;MH-R,1
45,152,7920,inter,left,60,True,3,MH-L;MH-R,1
99,190,4650,inter,left,61,True,3,MH-L;MH-R,1
109,123,14250,inter,left,62,True,3,MH-L;MH-R,1
14,141,7350,inter,left,63,True,3,MH-L;MH-R,1
29,178,6660,inter,left,64,True,3,MH-L;MH-R,1
62,220,4140,inter,left,65,True,3,MH-L;MH-R,1
97,207,6240,inter,left,66,True,3,MH-L;MH-R,1
73,153,13410,inter,left,67,True,3,MH-L;MH-R,1
113,225,12390,inter,left,68,True,3,MH-L;MH-R,1
46,210,9120,inter,left,69,True,3,MH-L;MH-R,1
45,158,9630,inter,left,70,True,3,MH-L;MH-R,1
60,122,6840,inter,left,71,True,3,MH-L;MH-R,1
65,235,12030,inter,left,72,True,3,MH-L;MH-R,1
25,158,11760,inter,left,73,True,3,MH-L;MH-R,1
68,219,9420,inter,left,74,True,3,MH-L;MH-R,1
12,170,5010,inter,left,75,True,3,MH-L;MH-R,1
14,215,10860,inter,left,76,True,3,MH-L;MH-R,1
64,212,11340,inter,left,77,True,3,MH-L;MH-R,1
85,185,12450,inter,left,78,True,3,MH-L;MH-R,1
108,132,6180,inter,left,79,True,3,MH-L;MH-R,1
38,163,3870,inter,left,80,True,3,MH-L;MH-R,1
