trip_id,arrival_time,departure_time,stop_id,stop_sequence
IE-0-0,0:00:00,0:00:00,A-0,1
IE-0-0,0:30:00,0:30:00,B-0,2
IE-1-0,0:15:00,0:15:00,A-0,1
IE-1-0,0:45:00,0:45:00,B-0,2
IE-2-0,0:30:00,0:30:00,A-0,1
IE-2-0,1:00:00,1:00:00,B-0,2
IE-3-0,0:45:00,0:45:00,A-0,1
IE-3-0,1:15:00,1:15:00,B-0,2
IE-4-0,1:00:00,1:00:00,A-0,1
IE-4-0,1:30:00,1:30:00,B-0,2
IE-5-0,1:15:00,1:15:00,A-0,1
IE-5-0,1:45:00,1:45:00,B-0,2
IE-6-0,1:30:00,1:30:00,A-0,1
IE-6-0,2:00:00,2:00:00,B-0,2
IE-7-0,1:45:00,1:45:00,A-0,1
IE-7-0,2:15:00,2:15:00,B-0,2
IE-8-0,2:00:00,2:00:00,A-0,1
IE-8-0,2:30:00,2:30:00,B-0,2
IE-9-0,2:15:00,2:15:00,A-0,1
IE-9-0,2:45:00,2:45:00,B-0,2
IE-10-0,2:30:00,2:30:00,A-0,1
IE-10-0,3:00:00,3:00:00,B-0,2
IE-11-0,2:45:00,2:45:00,A-0,1
IE-11-0,3:15:00,3:15:00,B-0,2
IE-12-0,3:00:00,3:00:00,A-0,1
IE-12-0,3:30:00,3:30:00,B-0,2
IE-13-0,3:15:00,3:15:00,A-0,1
IE-13-0,3:45:00,3:45:00,B-0,2
IE-14-0,3:30:00,3:30:00,A-0,1
IE-14-0,4:00:00,4:00:00,B-0,2
IE-15-0,3:45:00,3:45:00,A-0,1
IE-15-0,4:15:00,4:15:00,B-0,2
IE-16-0,4:00:00,4:00:00,A-0,1
IE-16-0,4:30:00,4:30:00,B-0,2
IE-17-0,4:15:00,4:15:00,A-0,1
IE-17-0,4:45:00,4:45:00,B-0,2
IE-18-0,4:30:00,4:30:00,A-0,1
IE-18-0,5:00:00,5:00:00,B-0,2
IE-19-0,4:45:00,4:45:00,A-0,1
IE-19-0,5:15:00,5:15:00,B-0,2
IE-20-0,5:00:00,5:00:00,A-0,1
IE-20-0,5:30:00,5:30:00,B-0,2
IE-21-0,5:15:00,5:15:00,A-0,1
IE-21-0,5:45:00,5:45:00,B-0,2
IE-22-0,5:30:00,5:30:00,A-0,1
IE-22-0,6:00:00,6:00:00,B-0,2
IE-23-0,5:45:00,5:45:00,A-0,1
IE-23-0,6:15:00,6:15:00,B-0,2
IE-24-0,6:00:00,6:00:00,A-0,1
IE-24-0,6:30:00,6:30:00,B-0,2
IE-25-0,6:15:00,6:15:00,A-0,1
IE-25-0,6:45:00,6:45:00,B-0,2
IE-26-0,6:30:00,6:30:00,A-0,1
IE-26-0,7:00:00,7:00:00,B-0,2
IE-27-0,6:45:00,6:45:00,A-0,1
IE-27-0,7:15:00,7:15:00,B-0,2
IE-28-0,7:00:00,7:00:00,A-0,1
IE-28-0,7:30:00,7:30:00,B-0,2
IE-29-0,7:15:00,7:15:00,A-0,1
IE-29-0,7:45:00,7:45:00,B-0,2
IE-30-0,7:30:00,7:30:00,A-0,1
IE-30-0,8:00:00,8:00:00,B-0,2
IE-31-0,7:45:00,7:45:00,A-0,1
IE-31-0,8:15:00,8:15:00,B-0,2
IE-0-1,0:00:00,0:00:00,B-0,1
IE-0-1,0:30:00,0:30:00,A-0,2
IE-1-1,0:15:00,0:15:00,B-0,1
IE-1-1,0:45:00,0:45:00,A-0,2
IE-2-1,0:30:00,0:30:00,B-0,1
IE-2-1,1:00:00,1:00:00,A-0,2
IE-3-1,0:45:00,0:45:00,B-0,1
IE-3-1,1:15:00,1:15:00,A-0,2
IE-4-1,1:00:00,1:00:00,B-0,1
IE-4-1,1:30:00,1:30:00,A-0,2
IE-5-1,1:15:00,1:15:00,B-0,1
