,operator_id,vehicle_id,final_soc,final_node_index,final_time
0,0,0,1,90,0
1,0,1,1,69,0
2,0,2,1,104,0
3,0,3,1,110,0
4,0,4,1,97,0
5,0,5,1,29,0
6,0,6,1,106,0
7,0,7,1,24,0
8,0,8,1,62,0
9,0,9,1,7,0
10,0,10,1,43,0
11,0,11,1,33,0
12,0,12,1,79,0
13,0,13,1,48,0
14,0,14,1,37,0
15,0,15,1,20,0
16,0,16,1,94,0
17,0,17,1,49,0
18,0,18,1,21,0
19,0,19,1,78,0
20,0,20,1,149,0
21,0,21,1,175,0
22,0,22,1,121,0
23,0,23,1,185,0
24,0,24,1,226,0
25,0,25,1,139,0
26,0,26,1,184,0
27,0,27,1,158,0
28,0,28,1,177,0
29,0,29,1,177,0
30,0,30,1,192,0
31,0,31,1,158,0
32,0,32,1,167,0
33,0,33,1,154,0
34,0,34,1,234,0
35,0,35,1,122,0
36,0,36,1,206,0
37,0,37,1,195,0
38,0,38,1,228,0
39,0,39,1,221,0
