trip_id,route_id,service_id,direction_id
1-0-47,1,0,0
1-0-46,1,0,0
1-0-45,1,0,0
1-0-44,1,0,0
1-0-43,1,0,0
1-0-0,1,0,0
1-0-1,1,0,0
1-0-2,1,0,0
1-0-3,1,0,0
1-0-4,1,0,0
1-0-5,1,0,0
1-0-6,1,0,0
1-0-7,1,0,0
1-0-8,1,0,0
1-0-9,1,0,0
1-0-10,1,0,0
1-0-11,1,0,0
1-0-12,1,0,0
1-0-13,1,0,0
1-0-14,1,0,0
1-0-15,1,0,0
1-0-16,1,0,0
1-0-17,1,0,0
1-0-18,1,0,0
1-0-19,1,0,0
1-0-20,1,0,0
1-0-21,1,0,0
1-0-22,1,0,0
1-0-23,1,0,0
1-0-24,1,0,0
1-0-25,1,0,0
1-0-26,1,0,0
1-0-27,1,0,0
1-0-28,1,0,0
1-0-29,1,0,0
1-0-30,1,0,0
1-0-31,1,0,0
1-0-32,1,0,0
1-0-33,1,0,0
1-0-34,1,0,0
1-0-35,1,0,0
1-0-36,1,0,0
1-0-37,1,0,0
1-0-38,1,0,0
1-0-39,1,0,0
1-0-40,1,0,0
1-0-41,1,0,0
1-0-42,1,0,0
1-1-47,1,0,1
1-1-46,1,0,1
1-1-45,1,0,1
1-1-44,1,0,1
1-1-43,1,0,1
1-1-0,1,0,1
1-1-1,1,0,1
1-1-2,1,0,1
1-1-3,1,0,1
1-1-4,1,0,1
1-1-5,1,0,1
1-1-6,1,0,1
1-1-7,1,0,1
1-1-8,1,0,1
1-1-9,1,0,1
1-1-10,1,0,1
1-1-11,1,0,1
1-1-12,1,0,1
1-1-13,1,0,1
1-1-14,1,0,1
1-1-15,1,0,1
1-1-16,1,0,1
1-1-17,1,0,1
1-1-18,1,0,1
1-1-19,1,0,1
1-1-20,1,0,1
1-1-21,1,0,1
1-1-22,1,0,1
1-1-23,1,0,1
1-1-24,1,0,1
1-1-25,1,0,1
1-1-26,1,0,1
1-1-27,1,0,1
1-1-28,1,0,1
1-1-29,1,0,1
1-1-30,1,0,1
1-1-31,1,0,1
1-1-32,1,0,1
1-1-33,1,0,1
1-1-34,1,0,1
1-1-35,1,0,1
1-1-36,1,0,1
1-1-37,1,0,1
1-1-38,1,0,1
1-1-39,1,0,1
1-1-40,1,0,1
1-1-41,1,0,1
1-1-42,1,0,1
2-0-47,2,0,0
2-0-46,2,0,0
2-0-45,2,0,0
2-0-44,2,0,0
2-0-43,2,0,0
2-0-0,2,0,0
2-0-1,2,0,0
2-0-2,2,0,0
2-0-3,2,0,0
2-0-4,2,0,0
2-0-5,2,0,0
2-0-6,2,0,0
2-0-7,2,0,0
2-0-8,2,0,0
2-0-9,2,0,0
2-0-10,2,0,0
2-0-11,2,0,0
2-0-12,2,0,0
2-0-13,2,0,0
2-0-14,2,0,0
2-0-15,2,0,0
2-0-16,2,0,0
2-0-17,2,0,0
2-0-18,2,0,0
2-0-19,2,0,0
2-0-20,2,0,0
2-0-21,2,0,0
2-0-22,2,0,0
2-0-23,2,0,0
2-0-24,2,0,0
2-0-25,2,0,0
2-0-26,2,0,0
2-0-27,2,0,0
