,operator_id,vehicle_id,final_soc,final_node_index,final_time
0,0,0,1,52,0
1,0,1,1,69,0
2,0,2,1,12,0
3,0,3,1,82,0
4,0,4,1,35,0
5,0,5,1,20,0
6,0,6,1,93,0
7,0,7,1,64,0
8,0,8,1,26,0
9,0,9,1,0,0
10,0,10,1,79,0
11,0,11,1,115,0
12,0,12,1,101,0
13,0,13,1,33,0
14,0,14,1,3,0
15,0,15,1,63,0
16,0,16,1,94,0
17,0,17,1,50,0
18,0,18,1,87,0
19,0,19,1,46,0
20,0,20,1,90,0
21,0,21,1,26,0
22,0,22,1,33,0
23,0,23,1,77,0
24,0,24,1,31,0
25,0,25,1,37,0
26,0,26,1,71,0
27,0,27,1,22,0
28,0,28,1,91,0
29,0,29,1,107,0
30,0,30,1,111,0
31,0,31,1,71,0
32,0,32,1,52,0
33,0,33,1,115,0
34,0,34,1,114,0
35,0,35,1,2,0
36,0,36,1,15,0
37,0,37,1,0,0
38,0,38,1,86,0
39,0,39,1,19,0
40,0,40,1,3,0
41,0,41,1,65,0
42,0,42,1,68,0
43,0,43,1,66,0
44,0,44,1,45,0
45,0,45,1,92,0
46,0,46,1,23,0
47,0,47,1,33,0
48,0,48,1,11,0
49,0,49,1,33,0
50,0,50,1,26,0
51,0,51,1,2,0
52,0,52,1,38,0
53,0,53,1,34,0
54,0,54,1,108,0
55,0,55,1,8,0
56,0,56,1,62,0
57,0,57,1,56,0
58,0,58,1,108,0
59,0,59,1,79,0
60,0,60,1,7,0
61,0,61,1,80,0
62,0,62,1,114,0
63,0,63,1,35,0
64,0,64,1,111,0
65,0,65,1,72,0
66,0,66,1,38,0
67,0,67,1,20,0
68,0,68,1,75,0
69,0,69,1,70,0
70,0,70,1,109,0
71,0,71,1,49,0
72,0,72,1,54,0
73,0,73,1,115,0
74,0,74,1,56,0
75,0,75,1,42,0
76,0,76,1,23,0
77,0,77,1,89,0
78,0,78,1,81,0
79,0,79,1,79,0
80,0,80,1,42,0
81,0,81,1,56,0
82,0,82,1,86,0
83,0,83,1,21,0
84,0,84,1,69,0
85,0,85,1,71,0
