trip_id,arrival_time,departure_time,stop_id,stop_sequence
IE-0-0,0:00:00,0:00:00,A-0,1
IE-0-0,0:30:00,0:30:00,B-0,2
IE-1-0,0:05:00,0:05:00,A-0,1
IE-1-0,0:35:00,0:35:00,B-0,2
IE-2-0,0:10:00,0:10:00,A-0,1
IE-2-0,0:40:00,0:40:00,B-0,2
IE-3-0,0:15:00,0:15:00,A-0,1
IE-3-0,0:45:00,0:45:00,B-0,2
IE-4-0,0:20:00,0:20:00,A-0,1
IE-4-0,0:50:00,0:50:00,B-0,2
IE-5-0,0:25:00,0:25:00,A-0,1
IE-5-0,0:55:00,0:55:00,B-0,2
IE-6-0,0:30:00,0:30:00,A-0,1
IE-6-0,1:00:00,1:00:00,B-0,2
IE-7-0,0:35:00,0:35:00,A-0,1
IE-7-0,1:05:00,1:05:00,B-0,2
IE-8-0,0:40:00,0:40:00,A-0,1
IE-8-0,1:10:00,1:10:00,B-0,2
IE-9-0,0:45:00,0:45:00,A-0,1
IE-9-0,1:15:00,1:15:00,B-0,2
IE-10-0,0:50:00,0:50:00,A-0,1
IE-10-0,1:20:00,1:20:00,B-0,2
IE-11-0,0:55:00,0:55:00,A-0,1
IE-11-0,1:25:00,1:25:00,B-0,2
IE-12-0,1:00:00,1:00:00,A-0,1
IE-12-0,1:30:00,1:30:00,B-0,2
IE-13-0,1:05:00,1:05:00,A-0,1
IE-13-0,1:35:00,1:35:00,B-0,2
IE-14-0,1:10:00,1:10:00,A-0,1
IE-14-0,1:40:00,1:40:00,B-0,2
IE-15-0,1:15:00,1:15:00,A-0,1
IE-15-0,1:45:00,1:45:00,B-0,2
IE-16-0,1:20:00,1:20:00,A-0,1
IE-16-0,1:50:00,1:50:00,B-0,2
IE-17-0,1:25:00,1:25:00,A-0,1
IE-17-0,1:55:00,1:55:00,B-0,2
IE-18-0,1:30:00,1:30:00,A-0,1
IE-18-0,2:00:00,2:00:00,B-0,2
IE-19-0,1:35:00,1:35:00,A-0,1
IE-19-0,2:05:00,2:05:00,B-0,2
IE-20-0,1:40:00,1:40:00,A-0,1
IE-20-0,2:10:00,2:10:00,B-0,2
IE-21-0,1:45:00,1:45:00,A-0,1
IE-21-0,2:15:00,2:15:00,B-0,2
IE-22-0,1:50:00,1:50:00,A-0,1
IE-22-0,2:20:00,2:20:00,B-0,2
IE-23-0,1:55:00,1:55:00,A-0,1
IE-23-0,2:25:00,2:25:00,B-0,2
IE-24-0,2:00:00,2:00:00,A-0,1
IE-24-0,2:30:00,2:30:00,B-0,2
IE-25-0,2:05:00,2:05:00,A-0,1
IE-25-0,2:35:00,2:35:00,B-0,2
IE-26-0,2:10:00,2:10:00,A-0,1
IE-26-0,2:40:00,2:40:00,B-0,2
IE-27-0,2:15:00,2:15:00,A-0,1
IE-27-0,2:45:00,2:45:00,B-0,2
IE-28-0,2:20:00,2:20:00,A-0,1
IE-28-0,2:50:00,2:50:00,B-0,2
IE-29-0,2:25:00,2:25:00,A-0,1
IE-29-0,2:55:00,2:55:00,B-0,2
IE-30-0,2:30:00,2:30:00,A-0,1
IE-30-0,3:00:00,3:00:00,B-0,2
IE-31-0,2:35:00,2:35:00,A-0,1
IE-31-0,3:05:00,3:05:00,B-0,2
IE-32-0,2:40:00,2:40:00,A-0,1
IE-32-0,3:10:00,3:10:00,B-0,2
IE-33-0,2:45:00,2:45:00,A-0,1
IE-33-0,3:15:00,3:15:00,B-0,2
IE-34-0,2:50:00,2:50:00,A-0,1
IE-34-0,3:20:00,3:20:00,B-0,2
IE-35-0,2:55:00,2:55:00,A-0,1
IE-35-0,3:25:00,3:25:00,B-0,2
IE-36-0,3:00:00,3:00:00,A-0,1
IE-36-0,3:30:00,3:30:00,B-0,2
IE-37-0,3:05:00,3:05:00,A-0,1
