trip_id,arrival_time,departure_time,stop_id,stop_sequence
IE-0-0,0:00:00,0:00:00,A-0,1
IE-0-0,0:30:00,0:30:00,B-0,2
IE-1-0,0:30:00,0:30:00,A-0,1
IE-1-0,1:00:00,1:00:00,B-0,2
IE-2-0,1:00:00,1:00:00,A-0,1
IE-2-0,1:30:00,1:30:00,B-0,2
IE-3-0,1:30:00,1:30:00,A-0,1
IE-3-0,2:00:00,2:00:00,B-0,2
IE-4-0,2:00:00,2:00:00,A-0,1
IE-4-0,2:30:00,2:30:00,B-0,2
IE-5-0,2:30:00,2:30:00,A-0,1
IE-5-0,3:00:00,3:00:00,B-0,2
IE-6-0,3:00:00,3:00:00,A-0,1
IE-6-0,3:30:00,3:30:00,B-0,2
IE-7-0,3:30:00,3:30:00,A-0,1
IE-7-0,4:00:00,4:00:00,B-0,2
IE-8-0,4:00:00,4:00:00,A-0,1
IE-8-0,4:30:00,4:30:00,B-0,2
IE-9-0,4:30:00,4:30:00,A-0,1
IE-9-0,5:00:00,5:00:00,B-0,2
IE-10-0,5:00:00,5:00:00,A-0,1
IE-10-0,5:30:00,5:30:00,B-0,2
IE-11-0,5:30:00,5:30:00,A-0,1
IE-11-0,6:00:00,6:00:00,B-0,2
IE-12-0,6:00:00,6:00:00,A-0,1
IE-12-0,6:30:00,6:30:00,B-0,2
IE-13-0,6:30:00,6:30:00,A-0,1
IE-13-0,7:00:00,7:00:00,B-0,2
IE-14-0,7:00:00,7:00:00,A-0,1
IE-14-0,7:30:00,7:30:00,B-0,2
IE-15-0,7:30:00,7:30:00,A-0,1
IE-15-0,8:00:00,8:00:00,B-0,2
IE-0-1,0:00:00,0:00:00,B-0,1
IE-0-1,0:30:00,0:30:00,A-0,2
IE-1-1,0:30:00,0:30:00,B-0,1
IE-1-1,1:00:00,1:00:00,A-0,2
IE-2-1,1:00:00,1:00:00,B-0,1
IE-2-1,1:30:00,1:30:00,A-0,2
IE-3-1,1:30:00,1:30:00,B-0,1
IE-3-1,2:00:00,2:00:00,A-0,2
IE-4-1,2:00:00,2:00:00,B-0,1
IE-4-1,2:30:00,2:30:00,A-0,2
IE-5-1,2:30:00,2:30:00,B-0,1
IE-5-1,3:00:00,3:00:00,A-0,2
IE-6-1,3:00:00,3:00:00,B-0,1
IE-6-1,3:30:00,3:30:00,A-0,2
IE-7-1,3:30:00,3:30:00,B-0,1
IE-7-1,4:00:00,4:00:00,A-0,2
IE-8-1,4:00:00,4:00:00,B-0,1
IE-8-1,4:30:00,4:30:00,A-0,2
IE-9-1,4:30:00,4:30:00,B-0,1
IE-9-1,5:00:00,5:00:00,A-0,2
IE-10-1,5:00:00,5:00:00,B-0,1
IE-10-1,5:30:00,5:30:00,A-0,2
IE-11-1,5:30:00,5:30:00,B-0,1
IE-11-1,6:00:00,6:00:00,A-0,2
IE-12-1,6:00:00,6:00:00,B-0,1
IE-12-1,6:30:00,6:30:00,A-0,2
IE-13-1,6:30:00,6:30:00,B-0,1
IE-13-1,7:00:00,7:00:00,A-0,2
IE-14-1,7:00:00,7:00:00,B-0,1
IE-14-1,7:30:00,7:30:00,A-0,2
IE-15-1,7:30:00,7:30:00,B-0,1
IE-15-1,8:00:00,8:00:00,A-0,2
