trip_id,arrival_time,departure_time,stop_id,stop_sequence
IE-0-0,0:00:00,0:00:00,A-0,1
IE-0-0,0:30:00,0:30:00,B-0,2
IE-1-0,0:20:00,0:20:00,A-0,1
IE-1-0,0:50:00,0:50:00,B-0,2
IE-2-0,0:40:00,0:40:00,A-0,1
IE-2-0,1:10:00,1:10:00,B-0,2
IE-3-0,1:00:00,1:00:00,A-0,1
IE-3-0,1:30:00,1:30:00,B-0,2
IE-4-0,1:20:00,1:20:00,A-0,1
IE-4-0,1:50:00,1:50:00,B-0,2
IE-5-0,1:40:00,1:40:00,A-0,1
IE-5-0,2:10:00,2:10:00,B-0,2
IE-6-0,2:00:00,2:00:00,A-0,1
IE-6-0,2:30:00,2:30:00,B-0,2
IE-7-0,2:20:00,2:20:00,A-0,1
IE-7-0,2:50:00,2:50:00,B-0,2
IE-8-0,2:40:00,2:40:00,A-0,1
IE-8-0,3:10:00,3:10:00,B-0,2
IE-9-0,3:00:00,3:00:00,A-0,1
IE-9-0,3:30:00,3:30:00,B-0,2
IE-10-0,3:20:00,3:20:00,A-0,1
IE-10-0,3:50:00,3:50:00,B-0,2
IE-11-0,3:40:00,3:40:00,A-0,1
IE-11-0,4:10:00,4:10:00,B-0,2
IE-12-0,4:00:00,4:00:00,A-0,1
IE-12-0,4:30:00,4:30:00,B-0,2
IE-13-0,4:20:00,4:20:00,A-0,1
IE-13-0,4:50:00,4:50:00,B-0,2
IE-14-0,4:40:00,4:40:00,A-0,1
IE-14-0,5:10:00,5:10:00,B-0,2
IE-15-0,5:00:00,5:00:00,A-0,1
IE-15-0,5:30:00,5:30:00,B-0,2
IE-16-0,5:20:00,5:20:00,A-0,1
IE-16-0,5:50:00,5:50:00,B-0,2
IE-17-0,5:40:00,5:40:00,A-0,1
IE-17-0,6:10:00,6:10:00,B-0,2
IE-18-0,6:00:00,6:00:00,A-0,1
IE-18-0,6:30:00,6:30:00,B-0,2
IE-19-0,6:20:00,6:20:00,A-0,1
IE-19-0,6:50:00,6:50:00,B-0,2
IE-20-0,6:40:00,6:40:00,A-0,1
IE-20-0,7:10:00,7:10:00,B-0,2
IE-21-0,7:00:00,7:00:00,A-0,1
IE-21-0,7:30:00,7:30:00,B-0,2
IE-22-0,7:20:00,7:20:00,A-0,1
IE-22-0,7:50:00,7:50:00,B-0,2
IE-23-0,7:40:00,7:40:00,A-0,1
IE-23-0,8:10:00,8:10:00,B-0,2
IE-0-1,0:00:00,0:00:00,B-0,1
IE-0-1,0:30:00,0:30:00,A-0,2
IE-1-1,0:20:00,0:20:00,B-0,1
IE-1-1,0:50:00,0:50:00,A-0,2
IE-2-1,0:40:00,0:40:00,B-0,1
IE-2-1,1:10:00,1:10:00,A-0,2
IE-3-1,1:00:00,1:00:00,B-0,1
IE-3-1,1:30:00,1:30:00,A-0,2
IE-4-1,1:20:00,1:20:00,B-0,1
IE-4-1,1:50:00,1:50:00,A-0,2
IE-5-1,1:40:00,1:40:00,B-0,1
IE-5-1,2:10:00,2:10:00,A-0,2
IE-6-1,2:00:00,2:00:00,B-0,1
IE-6-1,2:30:00,2:30:00,A-0,2
IE-7-1,2:20:00,2:20:00,B-0,1
IE-7-1,2:50:00,2:50:00,A-0,2
IE-8-1,2:40:00,2:40:00,B-0,1
IE-8-1,3:10:00,3:10:00,A-0,2
IE-9-1,3:00:00,3:00:00,B-0,1
IE-9-1,3:30:00,3:30:00,A-0,2
IE-10-1,3:20:00,3:20:00,B-0,1
IE-10-1,3:50:00,3:50:00,A-0,2
IE-11-1,3:40:00,3:40:00,B-0,1
IE-11-1,4:10:00,4:10:00,A-0,2
IE-12-1,4:00:00,4:00:00,B-0,1
IE-12-1,4:30:00,4:30:00,A-0,2
IE-13-1,4:20:00,4:20:00,B-0,1
IE-13-1,4:50:00,4:50:00,A-0,2
IE-14-1,4:40:00,4:40:00,B-0,1
IE-14-1,5:10:00,5:10:00,A-0,2
IE-15-1,5:00:00,5:00:00,B-0,1
IE-15-1,5:30:00,5:30:00,A-0,2
IE-16-1,5:20:00,5:20:00,B-0,1
IE-16-1,5:50:00,5:50:00,A-0,2
IE-17-1,5:40:00,5:40:00,B-0,1
IE-17-1,6:10:00,6:10:00,A-0,2
IE-18-1,6:00:00,6:00:00,B-0,1
IE-18-1,6:30:00,6:30:00,A-0,2
IE-19-1,6:20:00,6:20:00,B-0,1
IE-19-1,6:50:00,6:50:00,A-0,2
IE-20-1,6:40:00,6:40:00,B-0,1
IE-20-1,7:10:00,7:10:00,A-0,2
IE-21-1,7:00:00,7:00:00,B-0,1
IE-21-1,7:30:00,7:30:00,A-0,2
IE-22-1,7:20:00,7:20:00,B-0,1
IE-22-1,7:50:00,7:50:00,A-0,2
IE-23-1,7:40:00,7:40:00,B-0,1
IE-23-1,8:10:00,8:10:00,A-0,2
